OBJECTID,Primary Substation Name,x,y
1,MANUREWA 33/11KV,1768594.2976,5900667.659
2,MANUKAU 33/11kV,1767605.3873,5904731.6901
3,ROSEBANK 33/11kV,1749836.7422,5916753.808
4,AVONDALE 22/11kV,1751533.9734,5914820.2477
5,CHEVALIER 22/11KV,1752805.9179,5918253.6688
6,MT ALBERT 22/11KV,1752910.8309,5916708.0917
7,SANDRINGHAM 22/11kV,1754436.1042,5915080.3181
8,TP ROSKILL 110/22KV,1753739.0705,5913315.4588
9,WHITE SWAN 22/11kV,1753726.9473,5913211.1651
10,PONSONBY 22/11kV,1755049.7085,5919850.6447
11,BALMORAL 22/11kV,1755215.5111,5916326.5582
12,FREEMANS BAY 22/11kV,1756125.6342,5920430.5465
13,KINGSLAND 110/22/11kV,1755559.3547,5917962.7609
14,HOBSON 110/22/11kV,1757101.1714,5920832.6901
15,VICTORIA 22/11kV,1757483.9987,5920428.0039
16,LIVERPOOL 110/22/11kV,1757295.9042,5919651.1159
17,NEWTON 22/11kV,1756881.97,5918712.1936
18,QUAY 110/22/11kV,1758211.7363,5920864.9679
19,NEWMARKET 33/11kV,1758172.7497,5918162.9382
20,DRIVE 33/11kV,1757739.409,5915524.9303
21,PARNELL 22/11kV,1758863.0332,5919865.3693
22,ONEHUNGA 22/11kV,1758822.8334,5912396.9309
23,AIRPORT 33/11kV,1759151.607,5903702.9399
24,MANGERE CENTRAL 33/11kV,1760482.0131,5906938.4307
25,REMUERA 33/11kV,1761521.3556,5916828.4998
26,ROCKFIELD 33/11kV,1760841.8853,5913912.7809
27,TE PAPAPA 33/11kV,1760616.0359,5912384.1418
28,MCNAB 33/11kV,1761748.9665,5913982.7551
29,ORAKEI 33/11kV,1763455.5708,5918957.9201
30,WESTFIELD 22/11kV,1763267.2295,5911625.5312
31,PACIFIC STEEL 110/33kV,1762562.5783,5909193.3032
32,HANS 33/11kV,1763315.1179,5909057.9759
33,MANGERE EAST 33/11kV,1762629.6974,5906791.9089
34,ST JOHNS 33/11KV,1764086.0044,5916929.3085
35,MT WELLINGTON 33/11kV,1764069.2626,5914273.2748
36,CARBINE 33/11kV,1764845.3796,5912077.3532
37,ST HELIERS 33/11kV,1766527.7946,5919578.554
38,GLEN INNES 22/11kV,1765668.7684,5917970.4317
39,TP OTAHUHU 220/22KV,1766064.9654,5908616.5097
40,BAIRDS 22/11kV,1765640.8652,5908411.5704
41,WIRI 33/11kV,1766276.3859,5903446.878
42,PAKURANGA 33/11kV,1767916.7768,5913568.852
43,OTARA 22/11KV,1768203.1653,5907852.0412
44,TP WIRI 110/33KV,1767730.7517,5904810.9537
45,GREENMOUNT 33/11kV,1769127.6347,5911288.2418
46,HOWICK 33/11kV,1770454.9797,5915189.671
47,TP PAKURANGA 220/33KV,1769794.9937,5911554.1563
48,SOUTH HOWICK 33/11kV,1771802.737,5913547.3438
49,TAKANINI 33/11kV,1773296.8179,5899605.897
50,PAPAKURA 33/11kV,1773708.3006,5895859.4837
51,MARAETAI 33/11kV,1781423.1308,5916623.9673
52,WAIHEKE 33/11kV,1782897.675,5925960.1473
53,TP MANGERE 110/33KV,1762711.4173,5907697.8616
54,TP TAKANINI 220/33KV,1771969.5809,5899069.7962
55,TP HEPBURN 110/33KV,1747977.8093,5916465.4026
56,LICHFIELD 110/11KV,1847540.7865,5775606.6801
57,HELENSVILLE 33/11KV,1730655.6079,5939571.8163
58,WAIMAUKU 33/11KV,1733485.0502,5929938.6667
59,TP Wellsford 110/33 kV POS,1735910.7021,5983397.5855
60,WARKWORTH 33/11KV,1750079.9804,5973092.0019
61,SNELLS BEACH 33/11KV,1754748.6819,5967182.6326
62,WELLSFORD 33/11KV,1738276.7309,5979399.0131
63,OREWA 33/11KV,1750299.0172,5950382.4257
64,MANLY 33/11KV,1756714.8772,5944095.759
65,BROWNS BAY 33/11KV,1753945.3118,5935159.992
66,TORBAY 33/11KV,1755846.9093,5937697.4883
67,WAIAKE 33/11KV,1755398.9273,5935943.2612
68,EAST COAST RD 33/11KV,1754839.3362,5933280.0822
69,SUNSET RD 33/11KV,1754338.0279,5931210.8764
70,FORREST HILL 33/11KV,1756237.686,5930778.5558
71,TP Albany 220/33 kV POS,1750904.4305,5932789.0639
72,SPUR RD 33/11KV,1749243.7318,5943718.2097
73,COATESVILLE 33/11KV,1746442.7438,5935154.7915
74,RIVERHEAD 33/11KV,1741233.1151,5930449.7344
75,HOBSONVILLE 33/11KV,1744957.8796,5924393.7146
76,TRIANGLE RD 33/11KV,1744395.6815,5921699.1903
77,TP Henderson 220/33 kV,1744234.099,5921381.2521
78,WOODFORD AVE 33/11KV,1745254.7995,5918700.4107
79,SWANSON 33/11KV,1741753.4246,5919034.1779
80,TE ATATU 33/11KV,1746805.3502,5919856.6596
81,MCLEOD RD 33/11KV,1747045.9022,5917567.9396
82,BRICKWORKS 33/11KV,1750247.1715,5913359.3818
83,NEW LYNN 33/11KV,1749385.741,5913730.6177
84,SABULITE RD 33/11KV,1747707.1153,5915059.6697
85,SIMPSON RD 33/11KV,1742181.5661,5916760.2927
86,HENDERSON VALLEY 33/11KV,1744477.418,5915760.8781
87,WAIKAUKAU RD 33/11KV,1745957.425,5914208.7155
88,JAMES ST 33/11KV,1753508.3326,5929229.3427
89,MILFORD 33/11KV,1757300.9196,5928986.4006
90,TAKAPUNA 33/11KV,1757760.1375,5926957.7312
91,WAIRAU VALLEY 110/33/11KV,1755871.5433,5928029.7204
92,HILLCREST 33/11KV,1755990.5599,5926890.5431
93,NORTHCOTE 33/11KV,1755623.3639,5925091.1161
94,HAURAKI 33/11KV,1758616.8136,5926124.716
95,NGATARINGA BAY 33/11KV,1759141.0813,5923393.9973
96,BIRKDALE 33/11KV,1752711.2597,5926508.0111
97,HIGHBURY 33/11KV,1753619.964,5924728.1946
98,BALMAIN RD 33/11KV,1752468.6873,5924710.6569
99,BELMONT 33/11KV,1759380.8501,5924660.7014
100,ATKINSON RD 33/11KV,1747407.7364,5911968.6855
101,LAINGHOLM 33/11KV,1744609.8159,5908663.2302
102,MCKINNON 33/11KV,1752392.0942,5934212.9982
103,BUSH RD 33/11KV,1752307.534,5931693.067
104,TP Silverdale 220/33 kV,1750523.7518,5945579.6765
105,KEELING RD 33/11KV,1744635.0831,5916682.8336
106,P647/P691/P759,1753922.3429,5925537.6831
107,HORSESHOE BUSH,1744694.7198,5941935.2568
108,P795/P827/P681,1747454.847,5914692.3835
109,ORATIA 33/11KV,1743562.6782,5912913.9206
110,TP PENROSE 220/110/33/22kV,1761755.8824,5914120.4775
111,EAST TAMAKI 33/11KV,1767697.1452,5911174.3267
112,MANGERE WEST 33/11kV,1758120.015,5907427.5737
113,LIVERPOOL HOSPITAL,1757265.0782,5919620.6341
114,SYLVIA PARK 33/11kV,1764031.0673,5913288.2874
115,CLEVEDON 33/11kV,1781272.2065,5904156.6076
116,RED BEACH 33/11KV,1751787.8322,5947661.1491
117,P407/P659/P785,1747162.9188,5913899.4903
118,GULF HARBOUR 33/11KV,1760340.0513,5946430.6644
119,P899/P669/P861,1752192.9815,5946888.5685
120,GREENHITHE 33/11KV,1750392.1633,5929251.0731
121,CLENDON 33/11KV,1766047.7704,5900533.0932
122,RANUI 33/11KV,1743526.9692,5919675.1073
123,HILLSBOROUGH 22/11KV,1756601.9489,5912911.0014
124,TP Wairau Rd 220/33 kV,1755876.5551,5928070.4039
125,TP HOBSON 220/110kV,1757119.6735,5920857.0996
126,ROSEDALE,1753707.5664,5932766.4659
127,FLAT BUSH 33/11KV,1770443.5978,5907100.0975
128,PORTABLE SWITCH ROOM NO.1,1741245.2072,5930439.4929
129,Westgate 33/11kV,1744048.6224,5923695.5735
130,P1007/P1155/P1023,1751371.7112,5931291.5789
131,HOBSONVILLE POINT,1747370.8002,5926703.3529
132,KAUKAPAKAPA,1734481.0941,5945654.4973
133,HIGHBROOK 22/22KV,1766864.6342,5910369.8787
134,BIG OMAHA 33/11KV,1755481.498,5978621.3299
135,WEST WIRI 33/11kV,1764808.8595,5903568.1594
136,Rotu Dr 33/11kV,1742807.1466,5924538.2258
137,BROOKBY 33kV,1777305.6626,5906173.4204
138,DCI Albany Datacentre 33kV,1751284.9655,5931569.315
